Country,ID
Afghanistan,124
Albania,60
Algeria,116
Andorra,123
Angola,98
Antigua and Barbuda,186
Argentina,5
Armenia,67
Australia,160
Austria,86
Azerbaijan,61
Bahamas,169
Bahrain,221
Bangladesh,122
Barbados,182
Belarus,32
Belgium,57
Belize,150
Benin,97
Bhutan,30
Bolivia,3
Bosnia and Herzegovina,126
Botswana,103
Brazil,42
Brunei,115
Bulgaria,105
Burkina Faso,143
Burundi,119
Cabo Verde,199
Cambodia,54
Cameroon,140
Canada,148
Central African Republic,82
Chad,110
Chile,2
China,8
Colombia,132
Comoros,197
DR Congo,29
Congo,28
Costa Rica,26
Cote d Ivoire,92
Croatia,99
Cuba,129
Cyprus,6
Czechia,46
Denmark,68
Djibouti,84
Dominica,184
Dominican Republic,109
Timor Leste,114
Ecuador,131
Egypt,154
El Salvador,112
Equatorial Guinea,157
Eritrea,85
Estonia,48
Eswatini,118
Ethiopia,12
Fiji,162
Finland,52
France,20
Gabon,141
The Gambia,158
Georgia,58
Germany,47
Ghana,145
Greece,77
Grenada,180
Guatemala,113
Guinea,80
Guinea-Bissau,146
Guyana,22
Haiti,108
Honduras,130
Hungary,72
Iceland,173
India,7
Indonesia,0
Iran,90
Iraq,87
Ireland,75
Israel,9
Italy,ITA
Jamaica,192
Japan,171
Jordan,137
Kazakhstan,39
Kenya,15
Kiribati,KIR
North Korea,24
South Korea,23
Kosovo,62
Kuwait,111
Kyrgyzstan,66
Laos,65
Latvia,49
Lebanon,11
Lesotho,139
Liberia,81
Libya,69
Liechtenstein,91
Lithuania,41
Luxembourg,55
Madagascar,164
Malawi,17
Malaysia,1
Maldives,MALDI
Mali,94
Malta,200
Marshall Islands,MARSHALL
Mauritania,156
Mauritius,196
Mexico,149
Micronesia,MICRO
Moldova,135
Monaco,MON
Mongolia,44
Montenegro,125
Morocco,MOR
Mozambique,117
Myanmar,121
Namibia,33
Nauru,NAU
Nepal,138
Netherlands,223
New Zealand,225
Nicaragua,27
Niger,142
Nigeria,96
North Macedonia,59
Norway,50
Oman,37
Pakistan,16
Palau,218
Panama,151
Papua New Guinea,153
Paraguay,133
Peru,4
Philippines,165
Poland,74
Portugal,134
Qatar,101
Romania,71
Russia,45
Rwanda,120
Saint Kitts and Nevis,187
Saint Lucia,183
Saint Vincent and the Grenadines,181
Samoa,210
San Marino,107
Sao Tome and Principe,198
Saudi Arabia,102
Senegal,95
Serbia,93
Seychelles,177
Sierra Leone,79
Singapore,205
Slovakia,73
Slovenia,100
Solomon Islands,211
Somalia,14
South Africa,34
Spain,64
Sri Lanka,166
Sudan,83
South Sudan,13
Suriname,21
Sweden,51
Switzerland,89
Syria,19
Tajikistan,40
Tanzania,18
Thailand,106
Togo,144
Tonga,208
Trinidad and Tobago,179
Tunisia,70
Turkey,63
Turkmenistan,136
Tuvalu,TUVA
Uganda,127
Ukraine,31
United Arab Emirates,56
United Kingdom,76
United States,147
Uruguay,43
Uzbekistan,38
Vanuatu,215
Vatican City,VAT
Venezuela,152
Vietnam,53
Yemen,155
Zambia,78
Zimbabwe,104
Niue,NIU
Cook Islands,COOKI
Palestine,10
